codigo,nome,creditos,turma,oferecidas_veteranos,oferecidas_calouros,vagas_ampliadas,ocupadas_veteranos,ocupadas_calouros,horarios,locais,professores
INF01217,TENDÊNCIAS EM ENGENHARIA DE SOFTWARE,4,U,25,0,0,7,0,10:30; 10:30,SALA DE AULA 111 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 111 - PRÉDIO 43425 - Campus: Vale,Karina Kohl Silveira
INF05501,TEORIA DA COMPUTAÇÃO N,4,A,24,0,0,24,0,13:30; 13:30,SALA DE AULA 111 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 111 - PRÉDIO 43425 - Campus: Vale,RODRIGO MACHADO
,,,B,19,0,0,20,0,13:30; 13:30,SALA DE AULA 111 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 111 - PRÉDIO 43425 - Campus: Vale,RODRIGO MACHADO
INF05512,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA,4,A,30,0,0,15,0,13:30; 13:30,SALA DE AULA 107 - P. 43425 - Campus: Vale                    ; SALA DE AULA 107 - P. 43425 - Campus: Vale,EDSON PRESTES E SILVA JUNIOR
,,,B,30,0,0,17,0,15:30; 15:30,SALA DE AULA 107 - P. 43425 - Campus: Vale                    ; SALA DE AULA 107 - P. 43425 - Campus: Vale,Henrique Becker
,,,C,35,0,0,38,0,13:30; 13:30,SALA DE AULA 107 - P. 43425 - Campus: Vale                    ; SALA DE AULA 107 - P. 43425 - Campus: Vale,BRUNO IOCHINS GRISCI
INF01214,TESTE DE SOFTWARE,4,U,30,0,0,23,0,13:30; 13:30,Sala de Aula 106 -  43413 - Campus: Vale                    ; Sala de Aula 106 -  43413 - Campus: Vale,LETICIA DOS SANTOS MACHADO
INF01054,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VII,4,U,15,0,0,6,0,13:30,Sala de Aula 107 - 43413 - Campus: Vale,EDISON PIGNATON DE FREITAS
INF01063,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XII,4,U,20,0,0,1,0,10:30; 10:30,Sala de Aula 107 - 43413 - Campus: Vale                    ; Sala de Aula 107 - 43413 - Campus: Vale,LUIGI CARRO
INF05016,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXI,4,A,5,0,0,3,0,10:30; 10:30,SALA DE VIDEOCONFERÊNCIA - Campus: Vale,LEILA RIBEIRO
,,,B,5,0,0,2,0,10:30; 10:30,"<li class=""hor"">Quinta 10:30-12:10 2</li>; ",ERIKA FERNANDES COTA
,,,C,5,0,0,2,0,10:30; 10:30,"<li class=""hor"">Quinta 10:30-12:10 2</li>; ",RENATA DE MATOS GALANTE
INF01219,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXIV,4,U,30,0,0,23,0,13:30; 13:30,Sala de Aula 108 - 43413 - Campus: Vale                    ; Sala de Aula 108 - 43413 - Campus: Vale,ANDERSON ROCHA TAVARES
INF01221,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXVI,4,U,30,0,10,40,0,10:30; 10:30,SALA DE AULA 114 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 114 - PRÉDIO 43425 - Campus: Vale,DENNIS GIOVANI BALREIRA
INF01050,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO I,4,U,15,0,0,8,0,15:30; 15:30,SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale,MANUEL MENEZES DE OLIVEIRA NETO
