codigo,nome,creditos,turma,oferecidas_veteranos,oferecidas_calouros,vagas_ampliadas,ocupadas_veteranos,ocupadas_calouros,horarios,locais,professores
,,,D2,18,7,0,16,8,15:30; 15:30; 15:30,Sala 102 - Campus: Vale                    ; Sala 102 - Campus: Vale                    ; Sala 102 - Campus: Vale,FLAVIA MALTA BRANCO
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,A1,59,0,0,52,0,10:10; 10:10; 10:10,Sala 102 - Campus: Vale                    ; Sala 102 - Campus: Vale                    ; Sala 102 - Campus: Vale,JACQUES AVELINE LOUREIRO DA SILVA
,,,A2,0,0,4,4,0,10:10; 10:10; 10:10,Sala 104 - Campus: Vale                    ; Sala 104 - Campus: Vale                    ; Sala 104 - Campus: Vale,VIRGINIA MARIA RODRIGUES
,,,A3,2,0,4,6,0,10:10; 10:10; 10:10,Sala 105 - Campus: Vale                    ; Sala 105 - Campus: Vale                    ; Sala 105 - Campus: Vale,RICARDO MISTURINI
,,,C1,5,0,0,4,0,13:30; 13:30; 13:30,Sala 102 - Campus: Vale                    ; Sala 102 - Campus: Vale                    ; Sala 102 - Campus: Vale,Wanderley Nunes Do Nascimento
,,,C2,2,0,3,5,0,13:30; 13:30; 13:30,Sala 104 - Campus: Vale                    ; Sala 104 - Campus: Vale                    ; Sala 104 - Campus: Vale,JULIO CESAR LOMBALDO FERNANDES
MAT01032,CÁLCULO NUMÉRICO A,4,U,43,0,0,41,0,13:30; 13:30,s: Vale                    ; s: Vale,RUDNEI DIAS DA CUNHA
INF01058,CIRCUITOS DIGITAIS,4,A,13,0,0,13,0,10:30; 10:30,Sala de Aula 106 -  43413 - Campus: Vale                    ; Sala de Aula 106 -  43413 - Campus: Vale,ANDRE INACIO REIS
,,,B,15,0,0,16,0,10:10; 10:10,Sala de Aula 106 -  43413 - Campus: Vale                    ; Sala de Aula 106 -  43413 - Campus: Vale,Marcello da Rocha Macarthy
,,,C,14,0,3,18,0,10:30; 10:30,Sala de Aula 106 -  43413 - Campus: Vale                    ; Sala de Aula 106 -  43413 - Campus: Vale,RENATO PEREZ RIBAS
INF01124,CLASSIFICAÇÃO E PESQUISA DE DADOS,4,A,20,0,0,20,0,10:30; 10:30,SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale,JOAO LUIZ DIHL COMBA
,,,B,19,0,0,14,0,13:30; 13:30,SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale,LEANDRO KRUG WIVES
INF01147,COMPILADORES,4,A,27,0,0,27,0,15:30; 15:30,SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale,LUCAS MELLO SCHNORR
,,,B,27,0,0,24,0,10:30; 10:30,SALA DE AULA 113 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 113 - PRÉDIO 43425 - Campus: Vale,MARCELO DE OLIVEIRA JOHANN
INF05515,COMPLEXIDADE DE ALGORITMOS - B,4,A,34,0,0,40,0,10:30; 10:30,SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale,MARIANA LUDERITZ KOLBERG FERNANDES
,,,B,32,0,0,15,0,13:30; 13:30,SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale,MARIANA LUDERITZ KOLBERG FERNANDES
INF01140,COMPUTADOR E SOCIEDADE,4,U,30,0,0,13,0,11:50,SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale,DANTE AUGUSTO COUTO BARONE
INF01005,COMUNICAÇÃO DE DADOS,4,U,15,0,0,3,0,10:10; 10:10,SALA DE AULA 114 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 114 - PRÉDIO 43425 - Campus: Vale,GABRIEL LUCA NAZAR
INF01185,CONCEPÇÃO DE CIRCUITOS INTEGRADOS I,4,U,3,0,0,2,0,15:30; 15:30,Sala de Aula 106 -  43413 - Campus: Vale                    ; Sala de Aula 106 -  43413 - Campus: Vale,SERGIO BAMPI
INF01194,CONCEPÇÃO DE CIRCUITOS INTEGRADOS II,4,U,1,0,0,0,0,13:30; 13:30,SALA DE AULA 102 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 102 - PRÉDIO 43425 - Campus: Vale,Claudio Machado Diniz
INF01032,EMPREENDIMENTO EM INFORMÁTICA,4,A,21,0,0,18,0,11:50,SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale,ERIKA FERNANDES COTA
,,,B,15,0,0,6,0,11:50,SALA DE AULA 114 - PRÉDIO 43425 - Campus: Vale,ALEXANDRE DA SILVA CARISSIMI
INF01127,ENGENHARIA DE SOFTWARE N,4,A,19,0,0,22,0,10:30; 10:30,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,LETICIA DOS SANTOS MACHADO
,,,B,16,0,0,17,0,15:30; 15:30,SALA DE AULA 114 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 114 - PRÉDIO 43425 - Campus: Vale,LUCINÉIA HELOISA THOM
MAT01167,EQUAÇÕES DIFERENCIAIS II,6,B1,1,0,0,0,0,10:30; 10:30; 10:30,s: Vale                    ; s: Vale                    ; s: Vale,MARIA CRISTINA VARRIALE
INF01203,ESTRUTURAS DE DADOS,4,A,20,0,0,25,0,13:30; 13:30,SALA DE AULA 114 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 114 - PRÉDIO 43425 - Campus: Vale,VIVIANE PEREIRA MOREIRA
,,,B,20,0,0,10,0,15:30; 15:30,SALA DE AULA 114 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 114 - PRÉDIO 43425 - Campus: Vale,VIVIANE PEREIRA MOREIRA
,,,C,22,0,0,21,0,13:30; 13:30,SALA DE AULA 114 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 114 - PRÉDIO 43425 - Campus: Vale,RENATA DE MATOS GALANTE
FIS01182,FÍSICA GERAL - ELETROMAGNETISMO,6,BB,0,0,2,0,0,10:10; 10:10; 10:10,Sala G213 do(a) Instituto de Matemática/Física - Salas de Aulas Teóricas - Campus: Vale                    ; Sala G213 do(a) Instituto de Matemática/Física - Salas de Aulas Teóricas - Campus: Vale                    ; Sala G213 do(a) Instituto de Matemática/Física - Salas de Aulas Teóricas - Campus: Vale,GILBERTO LIMA THOMAS
INF05008,FUNDAMENTOS DE ALGORITMOS,4,A,16,14,0,21,14,10:30; 10:30,SALA DE AULA 107 - P. 43425 - Campus: Vale                    ; SALA DE AULA 107 - P. 43425 - Campus: Vale,LUCIO MAURO DUARTE
,,,B,26,3,1,28,3,10:30; 10:30,SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale,BRUNO IOCHINS GRISCI
,,,C,14,11,0,16,11,10:10; 10:10,SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale,LEILA RIBEIRO
INF01145,FUNDAMENTOS DE BANCO DE DADOS,4,A,26,0,0,27,0,10:10; 10:10,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,KARIN BECKER
,,,B,29,0,0,29,0,15:30; 15:30,SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale,RENATA DE MATOS GALANTE
INF01047,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA,4,U,34,0,0,34,0,10:30; 10:30,SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale,EDUARDO SIMÕES LOPES GASTAL
INF01046,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS,4,A,26,0,0,27,0,15:30; 15:30,sino 104 - 43413 - Campus: Vale                    ; sino 104 - 43413 - Campus: Vale,JACOB SCHARCANSKI
,,,B,24,0,0,26,0,13:30; 13:30,SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale,MANUEL MENEZES DE OLIVEIRA NETO
INF01209,FUNDAMENTOS DE TOLERÂNCIA A FALHAS,4,U,35,0,0,36,0,13:30; 13:30,AUDITÓRIO 0 - Campus: Vale                    ; sino 104 - 43413 - Campus: Vale,SERGIO LUIS CECHIN
INF01030,FUNDAMENTOS DE VISÃO COMPUTACIONAL,4,U,25,0,0,8,0,10:10; 10:10,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,CLAUDIO ROSITO JUNG
INF01015,GERÊNCIA E APLICAÇÕES EM REDES,4,U,15,0,0,3,0,15:30; 15:30,Sala de Aula 106 -  43413 - Campus: Vale                    ; Sala de Aula 106 -  43413 - Campus: Vale,Juliano Araújo Wickboldt
INF01048,INTELIGÊNCIA ARTIFICIAL,4,A,20,0,0,20,0,10:10; 10:10,SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale,Joel Luis Carbonera
,,,B,20,0,0,13,0,13:30; 13:30,SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale,Joel Luis Carbonera
INF05004,INTELIGÊNCIA ARTIFICIAL AVANÇADA,4,U,20,0,0,18,0,10:30; 10:30,Sala de Aula 108 - 43413 - Campus: Vale                    ; Sala de Aula 108 - 43413 - Campus: Vale,André Grahl Pereira
INF01043,INTERAÇÃO HOMEM-COMPUTADOR,4,U,40,0,0,40,0,10:10; 10:10,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,LUCIANA PORCHER NEDEL
INF01107,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,4,A,5,8,4,15,8,13:30; 13:30,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,RENATO PEREZ RIBAS
,,,B,13,0,0,3,0,15:30; 15:30,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,FERNANDA GUSMAO DE LIMA KASTENSMIDT
,,,C,13,7,0,7,6,15:30; 15:30,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,Claudio Machado Diniz
,,,D,4,16,0,7,16,13:30; 13:30,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,Mateus Grellert da Silva
QUI99009,INTRODUÇÃO AO EMPREENDEDORISMO E INOVAÇÃO,4,A,1,0,0,1,0,11:50,"<li class=""obs"">Observação: a turma será ofertada no Campus do Vale</li>; <li class=""hor"">MAXIMILIANO SEGALA - Regente de 23/09/2024 a 18/01/2025</li><li class=""hor"">MICHELE OBERSON DE SOUZA - Ministrante de 23/09/2024 a 18/01/2025</li>",CRISTIANO KRUG
,,,C,1,0,0,1,0,13:30,Sala 0104 F(ICE) do Prédio Centenário - Campus: Centro,DEBORA JUNG LUVIZETTO FACCIN
,,,D,4,0,0,4,0,18:30,Sala 601 - Campus: Saúde,MAXIMILIANO SEGALA
INF01022,LABORATÓRIO DE SISTEMA DE SOFTWARE,4,U,30,0,0,22,0,11:50,SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale,MARCELO SOARES PIMENTA
EDU03071,LÍNGUA BRASILEIRA DE SINAIS (LIBRAS),2,K,4,0,0,9,0,18:30,SALA DE AULA - Campus: Centro,CRISTIAN ALEXANDRE STRACK
INF05005,LINGUAGENS FORMAIS E AUTÔMATOS N,4,U,40,0,0,41,0,15:30; 15:30,SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale,LUCIO MAURO DUARTE
INF05508,LÓGICA PARA COMPUTAÇÃO,4,A,24,0,0,25,0,10:30; 10:30,SALA DE AULA 107 - P. 43425 - Campus: Vale                    ; SALA DE AULA 107 - P. 43425 - Campus: Vale,ROSA MARIA VICARI
,,,B,24,0,0,16,0,15:30; 15:30,SALA DE AULA 107 - P. 43425 - Campus: Vale                    ; SALA DE AULA 107 - P. 43425 - Campus: Vale,MARCIO DORN
,,,C,20,0,0,14,0,10:10; 10:10,SALA DE AULA 107 - P. 43425 - Campus: Vale                    ; SALA DE AULA 107 - P. 43425 - Campus: Vale,André Grahl Pereira
